conditionID,participantID,sequenceNumber,taskName,environmentName,status,speedRequirementsImplemented,speedTaskTimeStart,speedTaskTimeEnd,qualityCorrectlyImplementedRequirements,QualityMaintainabilityIndex,activityCharacterOutput,communicationBrowserNewSnippets,communicationBrowserSnippetSize,communicationBrowserCharacters,communicationAINewSnippets,communicationAISnippetSize,communicationAICharacters,satisfactionSimpleComplicated,satisfactionUglyAttractive,satisfactionPracticalImpractical,satisfactionStylishTacky,satisfactionPredictableUnpredictable,satisfactionCheapPremium,satisfactionUnimaginativeCreative,satisfactionGoodBad,satisfactionConfusingClearlyStructured,satisfactionDullCaptivating,questionPositive,questionNegative
11,4,2,CSV,autocomplete,finished,7,24.05.2023 15:03:05,24.05.2023 15:19:21,5,78.95,495,2,53,106,6,43.33333333,260,7,7,7,5,5,6,5,6,6,6,"great suggestions, often I have a broad idea how the code should look when it comes to transforming data but not the detailed code in mind. That one felt super helpful! ",-
12,4,3,TXT,control,finished,3,24.05.2023 15:24:08,24.05.2023 15:38:06,3,78.95,380,5,24.4,122,0,0,0,3,4,5,4,4,4,4,3,3,3,standard (poor) productivity. ,had some bugs and in my opinion in some cases the error code in the terminal does not really help for solving bugs.
13,5,1,TXT,control,finished,4,25.05.2023 10:17:48,25.05.2023 10:32:59,4,73.99,344,4,36.25,145,0,0,0,6,6,4,5,5,3,4,6,6,5,minimal intellisense,"very little code completion, especially for someone that have little experience with python"
14,5,2,PDF,conversational,finished,10,25.05.2023 10:40:02,25.05.2023 10:55:15,10,67.35,450,0,0,0,2,190,380,7,6,7,6,6,6,5,6,6,6,basically solved the tasked for me. only basic coding knowledge required,additional promt window instead of directly in the code / code completion
15,5,3,CSV,autocomplete,finished,10,25.05.2023 11:01:36,25.05.2023 11:12:10,10,83.09,1020,0,0,0,11,89.09090909,980,7,6,7,6,7,6,6,7,7,7,"more insights for example when hovering or highlighting a text
give feedback over code quality and if there are sections to improve
highlight potential errors or include error prevention / handeling","not at all
very fast and intuitive"
16,6,1,TXT,autocomplete,finished,10,30.05.2023 15:28:31,30.05.2023 15:41:24,10,71.23,749,0,0,0,22,21.95454545,483,6,7,7,4,6,6,3,7,7,6,The code suggestions increase my productifity since I don't have to open Stack Overflow anymore,No
17,6,2,CSV,control,finished,4,30.05.2023 15:45:02,30.05.2023 16:00:27,4,83.67,549,10,30.9,309,0,0,0,2,4,3,2,3,3,5,3,2,3,"Not at all, but the errors in CLI are helpful",
18,6,3,PDF,conversational,finished,10,30.05.2023 16:04:53,30.05.2023 16:19:58,8,67.06,406,0,0,0,2,34.5,69,2,3,3,3,2,6,5,5,2,6,"It's better than googling, but the AI assistant provides to much blabla which hinders me to focus on the code itself","Too long explanation, copying code from left to right sucks"
19,7,1,PDF,control,finished,7,30.05.2023 18:16:59,30.05.2023 18:32:08,7,69.44,238,2,13,26,0,0,0,5,4,5,6,5,5,5,6,6,4,,
20,7,2,TXT,autocomplete,finished,10,30.05.2023 18:38:02,30.05.2023 18:48:34,10,72.44,857,0,0,0,21,35.85714286,753,6,3,6,5,6,6,6,6,6,6,Also if not 100% familiar with python programming it helps to fulfill the ideas the programmer has from other language experience.,
21,7,3,CSV,conversational,finished,7,30.05.2023 18:54:06,30.05.2023 19:09:13,7,85.89,1276,0,0,0,7,59.14285714,414,3,4,4,6,5,6,5,6,2,7,If asking the right questions and with the right block of code it increases speed.,I did not found the error I got. Mostly because it did not really know the dataset behind it. From the AI side of view the 2022 column did not exist.
22,8,1,PDF,autocomplete,finished,9,31.05.2023 14:20:13,31.05.2023 14:35:25,9,69.97,527,0,0,0,8,43.625,349,6,6,6,6,5,5,4,6,6,6,"Yes, a lot of lines were already provided without a lot of specifications. Nearly no adjustments were needed.","Comments were not fully understood. The writing and trying out took time, in which I didn't get a usable result. In the end I had to look things up manually"
23,8,2,TXT,conversational,finished,10,31.05.2023 14:43:41,31.05.2023 14:57:22,10,70.38,1040,0,0,0,11,83.45454545,918,7,6,7,6,5,7,7,7,6,6,Yes. Easily finding another solution for a functionality (i.e. if an import is unwanted). Quickly generating multiple features with just text prompts.,
24,8,3,CSV,control,finished,4,31.05.2023 15:01:18,31.05.2023 15:16:23,4,83.75,355,8,19,152,0,0,0,2,2,2,3,2,2,2,2,2,2,Not at all,"Yes, without any suggestions and autocompletion it is way harder to code. Finding the correct syntax for a function becomes heading to google..."
25,9,1,CSV,conversational,finished,,30.05.2023 12:38:01,30.05.2023 12:50:46,,,,,,,,,,7,7,6,6,6,2,6,7,2,6,"Yes, since I didn't have to swtich to an another app. However, needs some getting use to.","no.

However, since I've not experienced the IDE and don't have a clue of which AI engine it's is using I had to ensure that the output is correct. But I think that would come with use of the system in day to day tasks."
26,9,2,PDF,control,finished,,30.05.2023 12:56:24,30.05.2023 13:11:44,,,,,,,,,,3,4,3,5,6,6,5,4,3,4,It was helpful but lacking the AI assistent di make it a bit furstrating.,To some extent
27,9,3,TXT,autocomplete,finished,,30.05.2023 13:16:41,30.05.2023 13:25:28,,,,,,,,,,7,6,7,7,4,7,7,6,6,7,"Yes, easy of use and better readablity of the code","Sometimes when had to refactor code to match the requirement of the task. However, it did overall improve my productivity so cannot complain."
28,10,1,TXT,conversational,finished,10,08.06.2023 12:56:43,08.06.2023 13:09:13,10,78.48,1106,0,0,0,6,109.1666667,655,6,6,6,4,5,5,6,7,6,5,Yes. The possibility of pasting code from the output is very useful.,"Only bad experience: A single ""500 internal server error""."
29,10,2,PDF,autocomplete,finished,10,08.06.2023 13:16:15,08.06.2023 13:31:06,10,73.44,617,0,0,0,11,37.18181818,409,5,5,5,4,4,5,5,6,6,5,Seemed to know the solutions for task 1 and 2 already. Does it keep previous code in memory? Experimenters should consider this... ,seemed to use the wrong API call at some point
30,10,3,CSV,control,finished,10,08.06.2023 13:33:49,08.06.2023 13:48:31,10,78.47,504,6,38.83333333,233,0,0,0,6,5,5,4,6,5,3,5,5,4,Better than notepad.exe,
31,11,1,PDF,control,finished,5,08.06.2023 14:25:29,08.06.2023 14:40:37,4,71.12,130,1,10,10,0,0,0,6,5,6,6,5,6,3,7,6,4,It would automatically suggest some functions for me when I type in the first few letters ,na
32,11,2,TXT,conversational,finished,10,08.06.2023 14:47:10,08.06.2023 14:58:00,10,69.04,980,0,0,0,4,245,980,6,4,6,4,3,4,6,5,5,6,Yes I am quite amazed by how well the suggestions work. Having this greatly improves the speed for finishing the code and I can read over afterwards to understand it. I am not sure I will be able to apply these methods myself next time as well as if I had figured out the code after searching online and typing everything in myself but I guess I wouldn't need that if I have the AI helper all the time.,I was way more productive than when coding alone. The only thing is I feel like there should be an integrated button that appears in the page for the plugin or a keyboard shortcut instead of having to right click every time which seems a bit tacky.
33,11,3,CSV,autocomplete,finished,10,08.06.2023 15:07:43,08.06.2023 15:16:51,10,79.33,1427,0,0,0,9,42.33333333,381,6,5,6,6,5,6,6,6,6,7,It was nice to be able to see the suggestions right inside the code and to prompt the AI with comments. It feels more integrated than the previous AI assistant.,I wish more lines of the suggested code would be shown at once instead of just one line at a time so the user has a better idea of the overall suggestion. The user should be able to click tab through the lines to accept or there could be an accept all button that appears at the bottom of the suggested code. What I liked more about the other AI assistant was that it would explain the code without being asked to. I feel like there could be a bulb icon or something that also appears beside the suggested code and when you hover your mouse over it there will be a popup message explaining the suggested code.
34,12,1,CSV,autocomplete,finished,10,06.06.2023 15:48:51,06.06.2023 16:04:01,9,83.26,865,1,12,12,9,46.33333333,417,6,7,6,6,7,6,4,6,6,5,It improves productivity by saving time that I would spend looking for documentation online. However I need to double check the generated output and make sure I don't simply rely on it.,No
35,12,2,PDF,control,finished,10,06.06.2023 16:10:44,06.06.2023 16:26:05,9,65.03,416,3,20,60,0,0,0,6,6,6,6,7,6,4,6,6,5,No,It took time to google some things. However that's the workflow I am used to.
36,12,3,TXT,conversational,finished,10,06.06.2023 16:33:21,06.06.2023 16:46:14,10,70.62,1240,0,0,0,6,190.1666667,1141,7,7,6,6,5,6,6,6,5,5,"Yes! It is better to see the whole generated code at once than in comparison to the line per line tool from section 1. However, the tool tends to generate more content than needed. Therefore I have to be make sure I only copy the necessary code. Typically I don't have the coding tasks layed out in a way that I can just copy it. So thinking of the input that's needed for the generative tool also takes time, which is hard to implement for this experiment.",No
37,13,1,CSV,control,finished,4,07.06.2023 10:19:36,07.06.2023 10:34:39,1,83.75,129,5,13.6,68,0,0,0,5,5,3,3,3,5,6,6,6,5,"Every IDE increases productivity somehow. I have not used all possible features in this task, but in common VS is a pretty comfortable to work in.",No
38,13,2,TXT,autocomplete,finished,10,07.06.2023 10:44:12,07.06.2023 10:59:18,6,72.26,779,0,0,0,16,33.25,532,5,5,3,3,3,5,5,6,6,5,"Yes, sometimes the AI tool helps really, but sometimes it needs time what he is suggesting and if this really going to work as expected, what is not the case by many things",not at all
39,13,3,PDF,conversational,finished,5,07.06.2023 11:04:58,07.06.2023 11:20:07,3,72.14,220,0,0,0,4,54,215,3,5,2,2,1,6,5,6,6,5,It was easier to explain what is needed in wordss than expect from the assistant that he understands everything on his own,No
40,14,1,CSV,autocomplete,finished,10,07.06.2023 13:13:58,07.06.2023 13:23:47,8,82.58,1708,0,0,0,12,53.3,640,7,7,7,7,6,6,7,7,7,7,"Yes
Cause it can predict the code only from just adding the comment to the code to be implemented. Pretty good!","No, the VSCode is really simple IDE and easy to use not like Visual Studio or Eclipse or Intelij."
41,14,2,TXT,conversational,finished,10,07.06.2023 13:31:19,07.06.2023 13:40:49,10,74.6,3575,0,0,0,3,1191.666667,3575,7,7,6,6,4,5,5,6,7,6,The integration of the Genie is good and handy as well as the ability to inset the generated code with just one click is good. However more efforts like feeding the Genie has to be done from my side.,No
42,14,3,PDF,control,finished,6,07.06.2023 13:46:33,07.06.2023 14:01:44,1,77.27,361,1,37,37,0,0,0,2,2,2,2,1,1,1,1,2,1,"No, I would like to have in search addon to save me the time to google the needed function/package","With the standard configurations,yes. I wish I have ability to add some addon as well as configure some shortcuts to it."
43,15,1,PDF,conversational,finished,,07.06.2023 14:54:57,07.06.2023 15:10:01,,,,,,,,,,4,4,3,3,6,5,7,7,3,6,"Yes, I have not learnt that much about Python in my studies , I had no much Idea about alot of things but with IDE it was feeling like I can do programming pretty easy. Even if I was not able to solve the problem completly but I got a pretty good feeling working with IDE.",No
44,15,2,CSV,control,finished,,07.06.2023 15:20:15,07.06.2023 15:35:22,,,,,,,,,,5,4,6,5,4,5,7,6,3,6,Yes,No
45,15,3,TXT,autocomplete,finished,,07.06.2023 15:40:37,07.06.2023 15:53:21,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,"Yes, ss I don't have any special knowledge for Python but with the help of IDE I found it pretty easy to write the full program. Moreover I being for intereseted in fields like Verification and Cryptography I find programming a little bit challenging and not able to give proper time to coding but with help of IDE it solves my whole problem",NO
46,16,1,CSV,conversational,finished,,08.06.2023 15:55:17,08.06.2023 16:11:14,,,,,,,,,,5,5,5,4,5,4,4,5,5,4,"The AI improved productivity, because it gave solutions in little time",Smaller screen
47,16,2,PDF,autocomplete,finished,,08.06.2023 16:17:05,08.06.2023 16:32:11,,,,,,,,,,3,4,4,4,3,4,6,4,4,6,"Not often, because often not right solutions where shown and not clear where to put comments as prompts","Yes, because often I was waiting for answers which didn't came"
48,16,3,TXT,control,finished,,08.06.2023 16:36:27,08.06.2023 16:52:10,,,,,,,,,,2,3,2,3,5,3,2,3,5,2,"No, no functions",No influence at all
49,17,1,TXT,control,finished,1,13.06.2023 09:19:27,13.06.2023 09:38:23,1,72.91,159,1,30,30,0,0,0,5,3,5,5,5,4,3,5,5,3,,
50,17,2,CSV,conversational,finished,7,13.06.2023 09:45:46,13.06.2023 10:01:14,7,82.63,373,0,0,0,3,58,174,6,4,6,4,4,4,4,5,5,4,,
51,17,3,PDF,autocomplete,finished,4,13.06.2023 10:07:10,13.06.2023 10:22:22,3,70.56,731,0,0,0,7,37.57,263,3,6,4,5,3,5,6,5,3,6,,
52,18,1,PDF,autocomplete,finished,7,13.06.2023 17:44:38,13.06.2023 17:59:48,7,75.78,350,0,0,0,4,38.5,154,6,6,7,2,5,5,5,5,5,5,Basic lines of code that don't need much braun power are almost done in seconds which is saving time and brain capacity for more challenging work,
53,18,2,CSV,control,finished,2,13.06.2023 18:04:31,13.06.2023 18:19:46,1,83.61,269,2,31.5,63,0,0,0,1,4,2,5,6,3,3,3,3,4,,
54,18,3,TXT,conversational,finished,6,13.06.2023 18:25:33,13.06.2023 18:40:37,6,65.83,2586,0,0,0,8,308.125,2465,6,6,7,6,6,6,6,7,6,6,"There was no need to neither google any python library and its docs for simple syntax related questions.

A little more complex parts of the code were presented within seconds that would probably take a couple of minutes and testing to figure out on ones own.",
55,19,1,TXT,control,finished,6,13.06.2023 20:31:02,13.06.2023 20:46:16,2,62.3,920,5,178.2,891,0,0,0,5,2,6,6,5,6,6,7,6,6,"Yes, everything is well structured in an IDE.",
56,19,2,PDF,autocomplete,finished,8,13.06.2023 20:52:00,13.06.2023 20:55:48,7,68.55,1976,0,0,0,14,24,336,7,6,2,3,6,6,6,7,6,7,,
57,19,3,CSV,conversational,finished,10,13.06.2023 20:59:58,13.06.2023 21:07:58,10,78.69,1147,0,0,0,10,112.7,1127,7,7,7,7,7,7,6,7,6,7,,
58,20,1,CSV,autocomplete,finished,10,05.07.2023 10:50:14,05.07.2023 11:04:59,9,82.55,1284,0,0,0,10,52.4,524,7,7,7,7,5,7,7,7,7,7,"The IDE allowed me to copy-paste the question, suggesting me correct answers. More efficient than using ChatGPT in a browser, as you do not have to tab out. I did not have to use Google Search or any other web sources to answer the questions.","A potential pitfall could be the speed of the AI. Running this on weak machines could take longer than using ChatGPT in a browser. As for me right now, I did not hinder my productivity."
59,20,2,PDF,conversational,finished,10,05.07.2023 11:13:18,05.07.2023 11:27:53,10,73.03,2125,0,0,0,4,518.25,2073,7,7,7,7,7,7,7,7,5,1,"If there was not any sort of an assistant, I could have not solved the task in such a short time, as I have never done such a task before. Therefore, it improved productivity like crazy. ","Compared to the ""TAB"" based assistant, getting a recommendation takes more time. As I was not familiar with this task, being able to ""have a conversation"" definitely was more helpful, as I could iteratively improve the code."
60,20,3,TXT,control,finished,7,05.07.2023 11:32:44,05.07.2023 11:47:56,7,66.7,871,5,38.8,194,0,0,0,5,7,2,7,1,3,1,5,7,3,Non-AI autocomplete using TAB helped with productivity. ,"I had to use Google Search to solve my problems, i.e. tabbing out and looking for an appropriate solution. I had to use my own brain more than in the other solutions and was way slower."
61,21,1,PDF,conversational,finished,8,27.06.2023 10:14:27,27.06.2023 10:30:04,6,72.13,1453,0,0,0,6,177.8333333,1067,7,6,6,6,5,6,6,7,7,6,"100% did, given my knowledge of Python code is basic this helped me understand and edit code I've never seen before much faster- Also, given I do you other AI tools to support my coding having it within the IDE saves me the time of using another tool to get my feedback.","I think the only thing that I found unhelpful is the absence of a button or a keyboard shortcut to run the genie, but that could be cause I prefer to not use a mouse or a cursor if I can help it"
62,21,2,CSV,control,finished,3,27.06.2023 10:36:09,27.06.2023 10:51:23,1,82.63,430,4,36.75,147,0,0,0,1,4,6,5,2,3,1,2,1,2,"Unfortunately not, as a user whose gotten used to using AI tools to support my coding effort having to resort to standard google searches was very inefficient given the tool offered no additional support. I was only able to complete the most straight forward portion of the task given the others required time I didn't have","Yes 100%, this required a skilled developer who new Python coded and the pandas directory inside and out to be able to code and make changes on the fly. It is not accepting and user-friendly to non-coders at all"
63,21,3,TXT,autocomplete,finished,10,27.06.2023 10:58:37,27.06.2023 11:13:49,7,72.1,1273,0,0,0,29,34.68965517,1006,5,3,7,5,2,3,5,6,1,5,"It improved my productivity, got throught the most number of tasks but at the same time I didn't understand what code was being created, just that the macine thought it was the best fit",It hindered my productivity because it didn't provide a autogenerate hint in some cases and I wasn't sure how to proceed. Also I didn't understand the structure or the logic of the code. This would be helpful for brackets and syntax hiccups we hit when coding but actually generating lines without  prompt was a little overwhelming and disorienting for me
64,22,1,CSV,conversational,finished,9,18.07.2023 15:12:52,18.07.2023 15:27:58,8,80.28,546,0,0,0,5,54.8,274,6,6,7,4,6,6,5,7,6,5,"answers were very precise and helpful, could mostly take the answers into my code immediately",
65,22,2,TXT,autocomplete,finished,7,18.07.2023 15:33:23,18.07.2023 15:48:32,6,65.88,580,2,32.5,65,4,59.5,238,3,5,3,4,2,3,2,4,3,4,Sometimes the suggestions were great an worked out of the box,But mostly I didnt make the suggestions appear / they didnt do what i want
66,22,3,PDF,control,finished,8,18.07.2023 15:53:12,18.07.2023 16:08:19,7,67.53,370,1,37,37,0,0,0,5,5,5,6,7,4,2,6,6,3,,
67,23,1,CSV,control,finished,10,18.07.2023 16:41:40,18.07.2023 16:55:34,10,76.56,785,3,48,144,0,0,0,6,5,6,5,7,5,4,7,6,5,,
68,23,2,TXT,conversational,finished,10,18.07.2023 17:01:56,18.07.2023 17:17:09,7,63.99,1112,0,0,0,7,87.57142857,613,5,5,5,6,6,6,5,7,6,6,I immediately opted to use Genie for every question I did not DIRECTLY knew the exact answer to. As the solutions of Genie seemed to be mostly correct copy pasting was faster than thinking,In the end I found that I obviously had a bug in the code (stop word filtering didnt work) - as I did not fully write the code myself (and also didnt strcuture it nicely due to the time limit) - i did not find the bug in the end as the code was not really my code -> as soon as something stopped working it hindered my productivity as I had to then understand the code Genie gave me
69,23,3,PDF,autocomplete,finished,10,18.07.2023 17:25:29,18.07.2023 17:36:18,10,70.02,499,0,0,0,10,31.5,315,6,6,7,5,6,5,6,7,6,6,"yes, majorly - however, i felt like the IDE already knew the task and completeted based on previously done tasks?","One time i wrote a comment and wanted to generate code in the next line, but Copilot wanted to continue writing the comment"
70,24,1,CSV,autocomplete,finished,10,20.07.2023 08:58:16,20.07.2023 09:01:39,10,82.84,493,0,0,0,11,43.72727273,481,6,6,6,7,7,7,4,6,6,5,Writing short comments and letting them autocomplete is super fast. It was able to handle all syntax lookups so I did not need the browser at all. ,
71,24,2,PDF,control,finished,10,20.07.2023 09:03:20,20.07.2023 09:13:34,10,64.47,535,3,21,64,0,0,0,3,5,3,6,6,4,2,3,5,2,,The typing speed without AI assistance is extremely slow
72,24,3,TXT,conversational,finished,10,20.07.2023 09:14:24,20.07.2023 09:17:07,10,69.18,796,0,0,0,1,796,796,7,7,6,7,5,7,7,7,6,7,The AI assistant was able to complete all requirements when giving simply high level guidance from me. I did not have to type code but could just navigate and let the chatbot reiterate the code!,
73,25,1,PDF,autocomplete,finished,,15.06.2023 11:24:24,15.06.2023 11:26:54,,,,,,,,,,1,1,3,5,3,4,7,1,1,2,Voluptas voluptas bl,Vitae error minim id
74,25,2,TXT,control,finished,,15.06.2023 11:27:06,15.06.2023 12:07:12,,,,,,,,,,3,4,7,3,1,7,4,2,3,7,Ullamco voluptas duc,Eum ut animi error
75,25,3,CSV,conversational,intro,,15.06.2023 09:27:48,15.06.2023 10:46:00,,,,,,,,,,5,1,5,5,2,6,5,7,7,5,Aliquid magnam ullam,Vel quis ut laborum
76,26,1,CSV,conversational,finished,6,24.05.2023 20:10:17,24.05.2023 20:25:31,4,80.31,469,3,18.33333333,55,3,62.33333333,187,3,4,4,5,6,4,5,6,6,4,It found errors in the pandas library I had. ,Comparable to search
77,26,2,TXT,control,finished,7,24.05.2023 20:30:16,24.05.2023 20:45:53,7,61.41,711,5,30.4,152,0,0,0,6,4,4,4,4,4,4,4,4,4,Normal,Normal
78,26,3,PDF,autocomplete,finished,10,24.05.2023 20:52:42,24.05.2023 21:10:12,8,64.89,855,0,0,0,13,45.69230769,594,7,4,4,4,4,4,5,5,4,4,,Hallucinated
79,27,1,CSV,conversational,finished,7,03.06.2023 12:27:57,03.06.2023 12:43:05,6,82.09,339,0,0,0,8,31.625,253,6,6,6,4,5,4,4,6,6,4,"Possibility to input comands/questions in natural language and getting answers with code examples without having to look through multiple web pages. Feauture to insert code directly, so no need to copy/paste it",No
80,27,2,PDF,control,finished,6,03.06.2023 12:47:06,03.06.2023 13:02:15,5,70.66,381,1,18,18,0,0,0,3,4,3,4,5,4,6,4,4,4,"Not really, only thing it did was showing possible functions when I started typing but besides that no support",No
81,27,3,TXT,autocomplete,finished,10,03.06.2023 13:06:57,03.06.2023 13:14:44,10,75.5,592,0,0,0,16,29.875,478,7,5,7,4,6,4,5,6,6,4,"Yes already suggests possible code often even without giving instructions, no need to input query and afterwards copy/paste code into editor",No
82,28,1,PDF,conversational,finished,10,20.06.2023 18:25:26,20.06.2023 18:40:32,6,73.48,985,0,0,0,5,191.8,959,6,5,6,4,2,5,5,5,4,5,,"Partially, it didn't use the right coordinates for the second feature and the variable name pdf_canvas was not the same predefined one."
83,28,2,CSV,control,finished,7,20.06.2023 18:44:57,20.06.2023 19:00:04,3,83.14,491,6,42.33333333,254,0,0,0,2,4,3,2,2,1,3,2,3,1,,"Yes, auto complete nor highlighting if the method is under panda"
84,28,3,TXT,autocomplete,finished,10,20.06.2023 19:06:36,20.06.2023 19:14:23,10,73.72,1354,0,0,0,16,49.5625,793,7,7,7,6,5,5,6,7,6,5,"Yes, it boosted my productivity. By adding as the comment what the sub task is, is generates in most times the right code with the usage of the existing variables",
85,29,1,CSV,conversational,finished,10,22.06.2023 10:24:26,22.06.2023 10:39:37,10,82.76,527,0,0,0,3,175.3333333,526,7,6,7,6,6,2,6,7,7,5,"- YES
- it saved me massive time to look up concepts
- I did not have to think about how to implement a concept based on the given code/data
- the sample code did work, except for Feature1, where Genie did have a different name for the dataframe (so I did manually solve that NameError)
","it did not hinder my productivity in terms of getting the task done, but under the time pressure I did not take time to think through the tasks and how I would solve it. If my goal is learning per se, I would have taken more time to read through and understand in detail, what code recommendations I have been given to be able to use them at a later point maybe without relying on the tool."
86,29,2,PDF,autocomplete,finished,10,22.06.2023 10:49:20,22.06.2023 11:05:13,8,72.69,1515,0,0,0,15,41.2,618,6,5,5,5,3,3,4,5,3,4,"YES
- it gave me line by line suggestions, but leaving out the why or eplanation
- I did not have to think about the individual next steps
","- it did not hinder my productivity, but I noticed some issues/things that were not as convenient as with the AI Assisitant Genie
- multiply line comments did not bring any results in suggested code
- I was unsure, when the end of a suggested code block is there or if code is redundand."
87,29,3,TXT,control,finished,1,22.06.2023 11:11:32,22.06.2023 11:28:03,1,83.04,412,2,51.5,103,0,0,0,3,4,3,4,2,2,2,5,4,4,"- NO
- the IDE did not improve my productivity
- I had to look up concepts again to be able to implement them with the exact needed syntax
- additional issue: [] brackets were not to find on a windows keyyboard for me as a mac user. it would have been good to test to find those upfront, similar to the Y = a*b check in the beginning.","it did not really hinder my productivtiy, it did just what a normal IDE generally does: provide an envirement to write code incl. syntax highlighting.
- I guess it really depends what I expect of the IDE - when I know it is just VS Code as it is, I do not expect it to solve my coding tasks for me."
